REPR
C
L
L
NOR
NOR
NOR
L
L
L
L
NOR
NOR
LD
L
L
O
L
L
L
L
L
L
L
L
LD
L
LD
LD
NOR
L
LD
L
L
NOR
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
NOR
L
NOR
L
L
NOR
L
L
L
L
L
L
NOR
L
L
NOR
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
L
NOR
NOR
L
L
L
NOR
L
L
L
L
L
NOR
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
LD
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
LD
L
L
NOR
L
L
L
L
L
L
C
L
L
L
L
C
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
O
C
L
C
L
O
L
L
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
C
L
L
L
O
NOR
L
L
O
L
NOR
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
LD
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
NOR
L
L
L
L
O
L
L
L
L
NOR
L
L
L
NOR
L
L
L
L
LD
L
L
L
NOR
L
L
L
L
C
L
L
L
L
L
L
L
L
L
L
L
NOR
C
LD
L
L
L
L
O
LD
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
C
L
L
L
L
L
L
L
NOR
L
L
LD
L
L
L
L
L
L
L
L
L
L
L
L
O
L
L
L
L
L
L
NOR
L
UKIP
L
L
L
L
L
L
L
L
L
L
L
L
L
L
LD
LD
L
L
L
L
L
L
L
L
L
L
L
L
UKIP
L
L
L
L
L
L
L
L
O
L
O
L
NOR
L
L
L
L
L
L
L
C
NOR
L
L
L
L
L
L
L
LD
L
LD
L
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
C
L
L
L
L
L
C
L
L
C
L
O
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
O
L
L
L
L
L
L
L
L
O
L
L
C
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
C
L
L
C
L
L
NOR
L
L
L
L
L
L
NOR
L
NOR
LD
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
C
L
L
L
L
L
L
L
L
LD
LD
L
L
NOR
L
L
L
L
L
L
L
L
L
L
NOR
C
L
L
L
L
L
L
L
L
L
NOR
L
L
C
L
L
L
L
L
L
L
L
G
L
L
L
O
L
O
L
L
L
L
L
L
L
L
LD
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
LD
L
LD
L
L
L
G
L
L
L
L
UKIP
L
L
L
L
L
C
L
L
L
L
L
L
L
L
L
L
O
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOR
C
L
L
L
L
L
L
L
L
L
L
L
C
L
L
NOR
L
L
L
L
L
L
L
L
L
O
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
O
C
L
L
LD
L
L
L
L
L
L
L
L
L
L
L
L
L
C
L
L
L
G
L
L
L
L
L
L
LD
L
L
L
L
L
L
L
UKIP
L
L
L
L
L
L
LD
L
L
L
L
LD
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
LD
LD
L
L
L
L
L
L
L
L
L
L
L
O
L
L
L
L
L
L
L
NOR
L
L
L
NOR
O
L
L
L
L
L
LD
L
L
L
L
C
L
LD
O
O
L
NOR
L
L
L
L
L
L
L
C
L
C
L
L
L
L
L
LD
L
L
LD
L
L
L
L
L
L
L
L
L
C
NOR
L
L
L
L
NOR
L
O
L
L
L
L
L
O
L
L
L
L
L
L
L
L
L
C
L
L
L
L
L
L
L
L
L
L
L
L
C
L
L
L
L
L
L
L
L
L
L
L
L
L
L
C
L
C
L
L
L
L
L
L
LD
L
L
L
C
UKIP
L
L
L
L
LD
L
L
L
L
L
L
L
L
NOR
L
L
NOR
L
L
L
L
L
L
L
L
L
L
L
NOR
LD
L
C
L
L
L
L
L
L
L
O
L
L
G
C
L
L
C
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
C
L
C
L
L
LD
L
L
L
L
L
L
L
L
L
L
L
L
L
L
G
L
L
L
L
L
NOR
NOR
L
C
L
L
L
L
L
L
L
C
L
L
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
LD
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
O
L
L
L
NOR
L
L
L
L
L
L
L
L
LD
L
L
C
L
L
L
L
L
LD
L
L
L
L
L
L
LD
L
G
L
L
L
L
L
L
L
C
L
L
L
C
L
L
L
L
L
L
L
L
LD
L
L
O
O
L
C
UKIP
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
C
L
L
L
L
L
L
C
L
L
L
L
L
C
L
L
O
O
L
L
L
NOR
L
NOR
L
L
L
L
L
L
L
L
L
L
L
NOR
L
L
L
L
L
C
L
L
L
L
C
C
LD
L
LD
L
L
L
L
L
L
L
L
L
C
UKIP
L
L
L
L
L
L
L
L
L
L
L
L
L
L
C
L
L
L
L
L
L
L
L
L
L
L
L
LD
L
L
L
L
NOR
L
G
L
L
L
L
L
L
L
C
O
L
L
L
L
L
L
O
L
L
L
L
L
L
L
L
O
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
C
L
L
L
L
L
L
L
L
L
C
L
L
L
L
L
L
L
NOR
L
NOR
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
LD
LD
C
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
L
